Habitat_year_ID,Year,Habitat_transect_code,Treatment,Habitat_type,Date,Round,abun,lat,lon,rich,Months,Days,id,coords
2018_CF1,2018,CF1,COL,Field margin,2018-06-26,2,0,5.82550849485504,50.8519045040825,0,1,(60),1,"50.8519045040825 ,  5.82550849485504"
2018_CF1,2018,CF1,COL,Field margin,2018-07-06,3,7,5.82550849485504,50.8519045040825,5,2,(70),1,"50.8519045040825 ,  5.82550849485504"
2018_CF10,2018,CF10,COL,Field margin,2018-05-16,1,3,5.92959400018665,50.8173565000007,2,0,(19),1,"50.8173565000007 ,  5.92959400018665"
2018_CF10,2018,CF10,COL,Field margin,2018-07-03,2,5,5.92959400018665,50.8173565000007,1,2,(67),1,"50.8173565000007 ,  5.92959400018665"
2018_CF10,2018,CF10,COL,Field margin,2018-07-12,3,0,5.92959400018665,50.8173565000007,0,2,(76),1,"50.8173565000007 ,  5.92959400018665"
2018_CF12,2018,CF12,COL,Field margin,2018-05-16,1,3,5.93661449672838,50.8541870043627,2,0,(19),1,"50.8541870043627 ,  5.93661449672838"
2018_CF12,2018,CF12,COL,Field margin,2018-06-27,2,1,5.93661449672838,50.8541870043627,1,2,(61),1,"50.8541870043627 ,  5.93661449672838"
2018_CF12,2018,CF12,COL,Field margin,2018-07-10,3,0,5.93661449672838,50.8541870043627,0,2,(74),1,"50.8541870043627 ,  5.93661449672838"
2018_CF13,2018,CF13,COL,Field margin,2018-05-15,1,3,5.89128149983186,50.8721155000008,2,0,(18),1,"50.8721155000008 ,  5.89128149983186"
2018_CF13,2018,CF13,COL,Field margin,2018-06-28,2,9,5.89128149983186,50.8721155000008,2,2,(62),1,"50.8721155000008 ,  5.89128149983186"
2018_CF13,2018,CF13,COL,Field margin,2018-07-12,3,1,5.89128149983186,50.8721155000008,1,2,(76),1,"50.8721155000008 ,  5.89128149983186"
2018_CF3,2018,CF3,COL,Field margin,2018-06-26,2,1,5.79850149638326,50.8559395002855,1,1,(60),1,"50.8559395002855 ,  5.79850149638326"
2018_CF3,2018,CF3,COL,Field margin,2018-07-06,3,0,5.79850149638326,50.8559395002855,0,2,(70),1,"50.8559395002855 ,  5.79850149638326"
2018_CF4,2018,CF4,COL,Field margin,2018-05-15,1,1,5.79896149506697,50.8843250005613,1,0,(18),1,"50.8843250005613 ,  5.79896149506697"
2018_CF4,2018,CF4,COL,Field margin,2018-06-26,2,1,5.79896149506697,50.8843250005613,1,1,(60),1,"50.8843250005613 ,  5.79896149506697"
2018_CF4,2018,CF4,COL,Field margin,2018-07-05,3,0,5.79896149506697,50.8843250005613,0,2,(69),1,"50.8843250005613 ,  5.79896149506697"
2018_CF5,2018,CF5,COL,Field margin,2018-05-15,1,0,5.81277749366156,50.8786445007954,0,0,(18),1,"50.8786445007954 ,  5.81277749366156"
2018_CF5,2018,CF5,COL,Field margin,2018-07-07,2,9,5.81277749366156,50.8786445007954,4,2,(71),1,"50.8786445007954 ,  5.81277749366156"
2018_CF5,2018,CF5,COL,Field margin,2018-07-22,3,3,5.81277749366156,50.8786445007954,3,2,(86),1,"50.8786445007954 ,  5.81277749366156"
2018_CF6,2018,CF6,COL,Field margin,2018-05-15,1,4,5.80969099314365,50.8868225013157,4,0,(18),1,"50.8868225013157 ,  5.80969099314365"
2018_CF6,2018,CF6,COL,Field margin,2018-06-26,2,3,5.80969099314365,50.8868225013157,1,1,(60),1,"50.8868225013157 ,  5.80969099314365"
2018_CF6,2018,CF6,COL,Field margin,2018-07-05,3,0,5.80969099314365,50.8868225013157,0,2,(69),1,"50.8868225013157 ,  5.80969099314365"
2018_CF7,2018,CF7,COL,Field margin,2018-05-15,1,0,5.83103350734374,50.8834650016713,0,0,(18),1,"50.8834650016713 ,  5.83103350734374"
2018_CF7,2018,CF7,COL,Field margin,2018-06-26,2,16,5.83103350734374,50.8834650016713,6,1,(60),1,"50.8834650016713 ,  5.83103350734374"
2018_CF7,2018,CF7,COL,Field margin,2018-07-05,3,9,5.83103350734374,50.8834650016713,6,2,(69),1,"50.8834650016713 ,  5.83103350734374"
2018_CF8,2018,CF8,COL,Field margin,2018-05-24,1,18,5.90319950208226,50.810084000165,7,0,(27),1,"50.810084000165 ,  5.90319950208226"
2018_CF8,2018,CF8,COL,Field margin,2018-06-27,2,5,5.90319950208226,50.810084000165,2,2,(61),1,"50.810084000165 ,  5.90319950208226"
2018_CF8,2018,CF8,COL,Field margin,2018-07-11,3,12,5.90319950208226,50.810084000165,4,2,(75),1,"50.810084000165 ,  5.90319950208226"
2018_CF9,2018,CF9,COL,Field margin,2018-05-24,1,0,5.88445750568029,50.8005100007885,0,0,(27),1,"50.8005100007885 ,  5.88445750568029"
2018_CF9,2018,CF9,COL,Field margin,2018-07-07,2,34,5.88445750568029,50.8005100007885,14,2,(71),1,"50.8005100007885 ,  5.88445750568029"
2018_CF9,2018,CF9,COL,Field margin,2018-07-22,3,13,5.88445750568029,50.8005100007885,7,2,(86),1,"50.8005100007885 ,  5.88445750568029"
2018_CH1,2018,CH1,COL,Hedge,2018-05-08,1,0,5.76215649940685,50.8960630004306,0,0,(11),1,"50.8960630004306 ,  5.76215649940685"
2018_CH1,2018,CH1,COL,Hedge,2018-06-20,2,0,5.76215649940685,50.8960630004306,0,1,(54),1,"50.8960630004306 ,  5.76215649940685"
2018_CH1,2018,CH1,COL,Hedge,2018-07-18,3,0,5.76215649940685,50.8960630004306,0,2,(82),1,"50.8960630004306 ,  5.76215649940685"
2018_CH2,2018,CH2,COL,Hedge,2018-05-08,1,0,5.77901850357612,50.888660000268,0,0,(11),1,"50.888660000268 ,  5.77901850357612"
2018_CH2,2018,CH2,COL,Hedge,2018-06-25,2,0,5.77901850357612,50.888660000268,0,1,(59),1,"50.888660000268 ,  5.77901850357612"
2018_CH2,2018,CH2,COL,Hedge,2018-07-18,3,1,5.77901850357612,50.888660000268,1,2,(82),1,"50.888660000268 ,  5.77901850357612"
2018_CH4,2018,CH4,COL,Hedge,2018-05-08,1,2,5.77087350197179,50.8881445010361,2,0,(11),1,"50.8881445010361 ,  5.77087350197179"
2018_CH4,2018,CH4,COL,Hedge,2018-06-25,2,0,5.77087350197179,50.8881445010361,0,1,(59),1,"50.8881445010361 ,  5.77087350197179"
2018_CH4,2018,CH4,COL,Hedge,2018-07-18,3,0,5.77087350197179,50.8881445010361,0,2,(82),1,"50.8881445010361 ,  5.77087350197179"
2018_CH5,2018,CH5,COL,Hedge,2018-05-08,1,1,5.75358000031948,50.8925220042033,1,0,(11),1,"50.8925220042033 ,  5.75358000031948"
2018_CH5,2018,CH5,COL,Hedge,2018-06-20,2,0,5.75358000031948,50.8925220042033,0,1,(54),1,"50.8925220042033 ,  5.75358000031948"
2018_CH5,2018,CH5,COL,Hedge,2018-07-23,3,0,5.75358000031948,50.8925220042033,0,2,(87),1,"50.8925220042033 ,  5.75358000031948"
2018_CH6,2018,CH6,COL,Hedge,2018-05-08,1,1,5.7578764955482,50.8921465019548,1,0,(11),1,"50.8921465019548 ,  5.7578764955482"
2018_CH6,2018,CH6,COL,Hedge,2018-06-20,2,7,5.7578764955482,50.8921465019548,5,1,(54),1,"50.8921465019548 ,  5.7578764955482"
2018_CH6,2018,CH6,COL,Hedge,2018-07-23,3,5,5.7578764955482,50.8921465019548,3,2,(87),1,"50.8921465019548 ,  5.7578764955482"
2018_CH7,2018,CH7,COL,Hedge,2018-05-08,1,1,5.77375000572676,50.8847700036155,1,0,(11),1,"50.8847700036155 ,  5.77375000572676"
2018_CH7,2018,CH7,COL,Hedge,2018-06-25,2,13,5.77375000572676,50.8847700036155,3,1,(59),1,"50.8847700036155 ,  5.77375000572676"
2018_CH7,2018,CH7,COL,Hedge,2018-07-18,3,3,5.77375000572676,50.8847700036155,2,2,(82),1,"50.8847700036155 ,  5.77375000572676"
2018_CH8,2018,CH8,COL,Hedge,2018-05-08,1,0,5.77418500130121,50.8829150010048,0,0,(11),1,"50.8829150010048 ,  5.77418500130121"
2018_CH8,2018,CH8,COL,Hedge,2018-06-25,2,0,5.77418500130121,50.8829150010048,0,1,(59),1,"50.8829150010048 ,  5.77418500130121"
2018_CH8,2018,CH8,COL,Hedge,2018-07-18,3,0,5.77418500130121,50.8829150010048,0,2,(82),1,"50.8829150010048 ,  5.77418500130121"
2018_CH9,2018,CH9,COL,Hedge,2018-05-22,1,3,5.8041399990815,50.9117450000961,1,0,(25),1,"50.9117450000961 ,  5.8041399990815"
2018_CH9,2018,CH9,COL,Hedge,2018-06-20,2,12,5.8041399990815,50.9117450000961,6,1,(54),1,"50.9117450000961 ,  5.8041399990815"
2018_CH9,2018,CH9,COL,Hedge,2018-07-18,3,3,5.8041399990815,50.9117450000961,3,2,(82),1,"50.9117450000961 ,  5.8041399990815"
2018_CP1,2018,CP1,COL,Pasture,2018-05-26,1,10,5.78202349776173,50.866916500106,3,0,(29),1,"50.866916500106 ,  5.78202349776173"
2018_CP1,2018,CP1,COL,Pasture,2018-06-26,2,47,5.78202349776173,50.866916500106,11,1,(60),1,"50.866916500106 ,  5.78202349776173"
2018_CP1,2018,CP1,COL,Pasture,2018-07-23,3,33,5.78202349776173,50.866916500106,7,2,(87),1,"50.866916500106 ,  5.78202349776173"
2018_CP10,2018,CP10,CIL,Pasture,2018-05-26,1,23,5.91327499572882,50.8251895044461,2,0,(29),1,"50.8251895044461 ,  5.91327499572882"
